ws,hs,wa,ha,a0,a1,a2,a3,direction
208,256,72,256,0,0,0,1,3
200,256,72,256,0,0,0,1,3
192,256,72,256,0,0,0,1,3
184,256,72,256,0,0,0,1,3
176,256,72,256,0,0,0,1,3
168,256,72,256,0,0,0,1,3
160,256,72,256,0,0,0,1,3
152,256,72,256,0,0,0,1,3
144,256,72,256,0,0,0,1,3
136,256,72,256,0,0,0,1,3
128,256,72,256,0,0,0,1,3
120,256,72,256,0,0,0,1,3
112,256,72,256,0,0,0,1,3
104,256,72,256,0,0,0,1,3
96,256,72,256,0,0,0,1,3
88,256,72,256,0,0,0,1,3
80,256,72,256,0,0,0,1,1
88,256,760,256,0,1,0,0,1
96,256,760,256,0,1,0,0,1
104,256,760,256,0,1,0,0,1
112,256,760,256,0,1,0,0,1
120,256,760,256,0,1,0,0,1
128,256,760,256,0,1,0,0,1
136,256,760,256,0,1,0,0,1
144,256,760,256,0,1,0,0,1
152,256,760,256,0,1,0,0,1
160,256,760,256,0,1,0,0,1
168,256,760,256,0,1,0,0,1
176,256,760,256,0,1,0,0,1
184,256,760,256,0,1,0,0,1
192,256,760,256,0,1,0,0,1
200,256,760,256,0,1,0,0,1
208,256,760,256,0,1,0,0,1
216,256,760,256,0,1,0,0,1
224,256,760,256,0,1,0,0,1
232,256,760,256,0,1,0,0,1
240,256,760,256,0,1,0,0,1
248,256,760,256,0,1,0,0,1
256,256,760,256,0,1,0,0,1
264,256,760,256,0,1,0,0,1
272,256,760,256,0,1,0,0,1
280,256,760,256,0,1,0,0,1
288,256,760,256,0,1,0,0,1
296,256,760,256,0,1,0,0,1
304,256,760,256,0,1,0,0,1
312,256,760,256,0,1,0,0,1
320,256,760,256,0,1,0,0,1
328,256,760,256,0,1,0,0,1
336,256,760,256,0,1,0,0,1
344,256,760,256,0,1,0,0,1
352,256,760,256,0,1,0,0,1
360,256,760,256,0,1,0,0,1
368,256,760,256,0,1,0,0,1
376,256,760,256,0,1,0,0,1
384,256,760,256,0,1,0,0,1
392,256,760,256,0,1,0,0,1
400,256,760,256,0,1,0,0,1
408,256,760,256,0,1,0,0,1
416,256,760,256,0,1,0,0,1
424,256,760,256,0,1,0,0,1
432,256,760,256,0,1,0,0,1
440,256,760,256,0,1,0,0,1
448,256,760,256,0,1,0,0,1
456,256,760,256,0,1,0,0,1
464,256,760,256,0,1,0,0,1
472,256,760,256,0,1,0,0,1
480,256,760,256,0,1,0,0,1
488,256,760,256,0,1,0,0,1
496,256,760,256,0,1,0,0,1
504,256,760,256,0,1,0,0,1
512,256,760,256,0,1,0,0,1
520,256,760,256,0,1,0,0,1
528,256,760,256,0,1,0,0,1
536,256,760,256,0,1,0,0,1
544,256,760,256,0,1,0,0,1
552,256,760,256,0,1,0,0,1
560,256,760,256,0,1,0,0,1
568,256,760,256,0,1,0,0,1
576,256,760,256,0,1,0,0,1
584,256,760,256,0,1,0,0,1
592,256,760,256,0,1,0,0,1
600,256,760,256,0,1,0,0,1
608,256,760,256,0,1,0,0,1
616,256,760,256,0,1,0,0,1
624,256,760,256,0,1,0,0,1
632,256,760,256,0,1,0,0,1
640,256,760,256,0,1,0,0,1
648,256,760,256,0,1,0,0,1
656,256,760,256,0,1,0,0,1
664,256,760,256,0,1,0,0,1
672,256,760,256,0,1,0,0,1
680,256,760,256,0,1,0,0,1
688,256,760,256,0,1,0,0,1
696,256,760,256,0,1,0,0,1
704,256,760,256,0,1,0,0,1
712,256,760,256,0,1,0,0,1
720,256,760,256,0,1,0,0,1
728,256,760,256,0,1,0,0,1
736,256,760,256,0,1,0,0,1
744,256,760,256,0,1,0,0,1
752,256,760,256,0,1,0,0,2
752,248,600,232,0,0,1,0,2
752,240,600,232,0,0,1,0,2
752,232,600,232,0,0,0,1,3
744,232,600,232,0,0,0,1,3
736,232,600,232,0,0,0,1,3
728,232,600,232,0,0,0,1,3
720,232,600,232,0,0,0,1,3
712,232,600,232,0,0,0,1,3
704,232,600,232,0,0,0,1,3
696,232,600,232,0,0,0,1,3
688,232,600,232,0,0,0,1,3
680,232,600,232,0,0,0,1,3
672,232,600,232,0,0,0,1,3
664,232,600,232,0,0,0,1,3
656,232,600,232,0,0,0,1,3
648,232,600,232,0,0,0,1,3
640,232,600,232,0,0,0,1,3
632,232,600,232,0,0,0,1,3
624,232,600,232,0,0,0,1,3
616,232,600,232,0,0,0,1,3
608,232,600,232,0,0,0,1,2
608,224,672,192,0,0,1,0,2
608,216,672,192,0,0,1,0,2
608,208,672,192,0,0,1,0,2
608,200,672,192,0,0,1,0,2
608,192,672,192,0,1,0,0,1
616,192,672,192,0,1,0,0,1
624,192,672,192,0,1,0,0,1
632,192,672,192,0,1,0,0,1
640,192,672,192,0,1,0,0,1
648,192,672,192,0,1,0,0,1
656,192,672,192,0,1,0,0,1
664,192,672,192,0,1,0,0,2
664,184,768,72,0,0,1,0,2
664,176,768,72,0,0,1,0,2
664,168,768,72,0,0,1,0,2
664,160,768,72,0,0,1,0,2
664,152,768,72,0,0,1,0,2
664,144,768,72,0,0,1,0,2
664,136,768,72,0,0,1,0,2
664,128,768,72,0,0,1,0,2
664,120,768,72,0,0,1,0,2
664,112,768,72,0,0,1,0,2
664,104,768,72,0,0,1,0,2
664,96,768,72,0,0,1,0,2
664,88,768,72,0,0,1,0,2
664,80,768,72,0,0,1,0,2
664,72,768,72,0,1,0,0,1
672,72,768,72,0,1,0,0,1
680,72,768,72,0,1,0,0,1
688,72,768,72,0,1,0,0,1
696,72,768,72,0,1,0,0,1
704,72,768,72,0,1,0,0,1
712,72,768,72,0,1,0,0,1
720,72,768,72,0,1,0,0,1
728,72,768,72,0,1,0,0,1
736,72,768,72,0,1,0,0,1
744,72,768,72,0,1,0,0,1
752,72,768,72,0,1,0,0,1
760,72,768,72,0,1,0,0,0
760,80,272,256,1,0,0,0,0
760,88,272,256,1,0,0,0,0
760,96,272,256,1,0,0,0,0
760,104,272,256,1,0,0,0,0
760,112,272,256,1,0,0,0,0
760,120,272,256,1,0,0,0,0
760,128,272,256,1,0,0,0,0
760,136,272,256,1,0,0,0,0
760,144,272,256,1,0,0,0,0
760,152,272,256,1,0,0,0,0
760,160,272,256,1,0,0,0,0
760,168,272,256,1,0,0,0,0
760,176,272,256,1,0,0,0,0
760,184,272,256,1,0,0,0,0
760,192,272,256,1,0,0,0,0
760,200,272,256,1,0,0,0,0
760,208,272,256,1,0,0,0,0
760,216,272,256,1,0,0,0,0
760,224,272,256,1,0,0,0,0
760,232,272,256,1,0,0,0,0
760,240,272,256,1,0,0,0,0
760,248,272,256,1,0,0,0,0
760,256,272,256,0,0,0,1,3
752,256,272,256,0,0,0,1,3
744,256,272,256,0,0,0,1,3
736,256,272,256,0,0,0,1,3
728,256,272,256,0,0,0,1,3
720,256,272,256,0,0,0,1,3
712,256,272,256,0,0,0,1,3
704,256,272,256,0,0,0,1,3
696,256,272,256,0,0,0,1,3
688,256,272,256,0,0,0,1,3
680,256,272,256,0,0,0,1,3
672,256,272,256,0,0,0,1,3
664,256,272,256,0,0,0,1,3
656,256,272,256,0,0,0,1,3
648,256,272,256,0,0,0,1,3
640,256,272,256,0,0,0,1,3
632,256,272,256,0,0,0,1,3
624,256,272,256,0,0,0,1,3
616,256,272,256,0,0,0,1,3
608,256,272,256,0,0,0,1,3
600,256,272,256,0,0,0,1,3
592,256,272,256,0,0,0,1,3
584,256,272,256,0,0,0,1,3
576,256,272,256,0,0,0,1,3
568,256,272,256,0,0,0,1,3
560,256,272,256,0,0,0,1,3
552,256,272,256,0,0,0,1,3
544,256,272,256,0,0,0,1,3
536,256,272,256,0,0,0,1,3
528,256,272,256,0,0,0,1,3
520,256,272,256,0,0,0,1,3
512,256,272,256,0,0,0,1,3
504,256,272,256,0,0,0,1,3
496,256,272,256,0,0,0,1,3
488,256,272,256,0,0,0,1,3
480,256,272,256,0,0,0,1,3
472,256,272,256,0,0,0,1,3
464,256,272,256,0,0,0,1,3
456,256,272,256,0,0,0,1,3
448,256,272,256,0,0,0,1,3
440,256,272,256,0,0,0,1,3
432,256,272,256,0,0,0,1,3
424,256,272,256,0,0,0,1,3
416,256,272,256,0,0,0,1,3
408,256,272,256,0,0,0,1,3
400,256,272,256,0,0,0,1,3
392,256,272,256,0,0,0,1,3
384,256,272,256,0,0,0,1,3
376,256,272,256,0,0,0,1,3
368,256,272,256,0,0,0,1,3
360,256,272,256,0,0,0,1,3
352,256,272,256,0,0,0,1,3
344,256,272,256,0,0,0,1,3
336,256,272,256,0,0,0,1,3
328,256,272,256,0,0,0,1,3
320,256,272,256,0,0,0,1,3
312,256,272,256,0,0,0,1,3
304,256,272,256,0,0,0,1,3
296,256,272,256,0,0,0,1,3
288,256,272,256,0,0,0,1,3
280,256,272,256,0,0,0,1,2
280,248,216,232,0,0,1,0,2
280,240,216,232,0,0,1,0,2
280,232,216,232,0,0,0,1,3
272,232,216,232,0,0,0,1,3
264,232,216,232,0,0,0,1,3
256,232,216,232,0,0,0,1,3
248,232,216,232,0,0,0,1,3
240,232,216,232,0,0,0,1,3
232,232,216,232,0,0,0,1,3
224,232,216,232,0,0,0,1,2
224,224,656,160,0,0,1,0,2
224,216,656,160,0,0,1,0,2
224,208,656,160,0,0,1,0,2
224,200,656,160,0,0,1,0,2
224,192,656,160,0,0,1,0,2
224,184,656,160,0,0,1,0,2
224,176,656,160,0,0,1,0,2
224,168,656,160,0,0,1,0,2
224,160,656,160,0,1,0,0,1
232,160,656,160,0,1,0,0,1
240,160,656,160,0,1,0,0,1
248,160,656,160,0,1,0,0,1
256,160,656,160,0,1,0,0,1
264,160,656,160,0,1,0,0,1
272,160,656,160,0,1,0,0,1
280,160,656,160,0,1,0,0,1
288,160,656,160,0,1,0,0,1
296,160,656,160,0,1,0,0,1
304,160,656,160,0,1,0,0,1
312,160,656,160,0,1,0,0,1
320,160,656,160,0,1,0,0,1
328,160,656,160,0,1,0,0,1
336,160,656,160,0,1,0,0,1
344,160,656,160,0,1,0,0,1
352,160,656,160,0,1,0,0,1
360,160,656,160,0,1,0,0,1
368,160,656,160,0,1,0,0,1
376,160,656,160,0,1,0,0,1
384,160,656,160,0,1,0,0,1
392,160,656,160,0,1,0,0,1
400,160,656,160,0,1,0,0,1
408,160,656,160,0,1,0,0,1
416,160,656,160,0,1,0,0,1
424,160,656,160,0,1,0,0,1
432,160,656,160,0,1,0,0,1
440,160,656,160,0,1,0,0,1
448,160,656,160,0,1,0,0,1
456,160,656,160,0,1,0,0,1
464,160,656,160,0,1,0,0,1
472,160,656,160,0,1,0,0,1
480,160,656,160,0,1,0,0,1
488,160,656,160,0,1,0,0,1
496,160,656,160,0,1,0,0,1
504,160,656,160,0,1,0,0,1
512,160,656,160,0,1,0,0,1
520,160,656,160,0,1,0,0,1
528,160,656,160,0,1,0,0,1
536,160,656,160,0,1,0,0,1
544,160,656,160,0,1,0,0,1
552,160,656,160,0,1,0,0,1
560,160,656,160,0,1,0,0,1
568,160,656,160,0,1,0,0,1
576,160,656,160,0,1,0,0,1
584,160,656,160,0,1,0,0,1
592,160,656,160,0,1,0,0,1
600,160,656,160,0,1,0,0,1
608,160,656,160,0,1,0,0,1
616,160,656,160,0,1,0,0,1
624,160,656,160,0,1,0,0,1
632,160,656,160,0,1,0,0,1
640,160,656,160,0,1,0,0,1
648,160,656,160,0,1,0,0,2
648,152,200,48,0,0,1,0,2
648,144,200,48,0,0,1,0,2
648,136,200,48,0,0,1,0,2
648,128,200,48,0,0,1,0,2
648,120,200,48,0,0,1,0,2
648,112,200,48,0,0,1,0,2
648,104,200,48,0,0,1,0,2
648,96,200,48,0,0,1,0,2
648,88,200,48,0,0,1,0,2
648,80,200,48,0,0,1,0,2
648,72,200,48,0,0,1,0,2
648,64,200,48,0,0,1,0,2
648,56,200,48,0,0,1,0,2
648,48,200,48,0,0,0,1,3
640,48,200,48,0,0,0,1,3
632,48,200,48,0,0,0,1,3
624,48,200,48,0,0,0,1,3
616,48,200,48,0,0,0,1,3
608,48,200,48,0,0,0,1,3
600,48,200,48,0,0,0,1,3
592,48,200,48,0,0,0,1,3
584,48,200,48,0,0,0,1,3
576,48,200,48,0,0,0,1,3
568,48,200,48,0,0,0,1,3
560,48,200,48,0,0,0,1,3
552,48,200,48,0,0,0,1,3
544,48,200,48,0,0,0,1,3
536,48,200,48,0,0,0,1,3
528,48,200,48,0,0,0,1,3
520,48,200,48,0,0,0,1,3
512,48,200,48,0,0,0,1,3
504,48,200,48,0,0,0,1,3
496,48,200,48,0,0,0,1,3
488,48,200,48,0,0,0,1,3
480,48,200,48,0,0,0,1,3
472,48,200,48,0,0,0,1,3
464,48,200,48,0,0,0,1,3
456,48,200,48,0,0,0,1,3
